fault_index,gate_id,fault_val,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,classic_backtrace_count,classic_backtrace_hops,classic_time_s
4440,17224,4,True,1,6,38,0,342,0.529326
4441,17232,3,True,1,2,28,0,231,0.28475
4442,17233,3,True,1,0,3,0,6,0.035244
4443,17234,4,True,1,0,19,0,88,0.185222
4444,17245,4,False,2,353,755,0,1264,10.005186
4445,17247,3,False,2,349,727,0,4873,10.005255
4446,17252,3,True,1,0,36,0,379,0.364366
4447,17255,3,True,1,0,18,0,116,0.211707
4448,17256,3,False,2,234,580,0,1831,10.004147
4449,17261,4,False,2,300,674,0,1164,10.011799
4450,17262,4,False,2,310,673,0,1231,10.005264
4451,17264,3,True,1,0,20,0,116,0.22068
4452,17265,3,False,2,320,667,0,1868,10.037095
4453,17268,4,False,2,308,644,0,3497,10.006582
4454,17271,3,False,2,321,668,0,3564,10.114647
4455,17271,4,False,2,236,573,0,3307,10.144479
4456,17272,3,False,2,276,698,0,3192,10.004809
4457,17273,3,False,2,244,513,0,2733,10.18783
4458,17276,4,True,1,0,7,0,26,0.182505
4459,17278,3,False,2,176,451,0,2430,10.034397
4460,17284,3,False,2,306,660,0,3562,10.039257
4461,17305,3,True,1,0,21,0,230,0.225677
4462,17307,3,True,1,0,21,0,230,0.230665
4463,17307,4,True,1,0,5,0,12,0.06369
4464,17308,3,True,1,0,21,0,230,0.234967
4465,17314,4,True,1,0,5,0,12,0.064329
4466,17315,4,True,1,0,5,0,12,0.063467
4467,17317,4,True,1,0,5,0,12,0.067069
4468,17319,4,True,1,0,5,0,12,0.065191
4469,17328,4,True,1,117,255,0,1350,3.932014
4470,17329,4,True,1,37,94,0,506,1.410325
4471,17335,3,True,1,0,8,0,29,0.097968
4472,17335,4,True,1,0,8,0,30,0.097231
4473,17338,3,False,2,249,519,0,4889,10.031031
4474,17340,3,False,2,175,443,0,2104,10.007772
4475,17340,4,False,2,294,665,0,5654,10.004412
4476,17353,3,False,2,314,658,0,5300,10.013737
4477,17356,4,False,2,310,645,0,3918,10.082108
4478,17359,3,True,1,17,50,0,264,0.72047
4479,17359,4,False,2,112,304,0,1813,10.062084
4480,17362,4,False,2,272,628,0,3690,10.008747
4481,17363,3,False,2,158,405,0,934,10.008832
4482,17364,4,False,2,139,292,0,1609,10.013912
4483,17365,4,True,1,0,3,0,6,0.090557
4484,17367,4,False,2,131,320,0,1328,10.401327
4485,17368,4,True,1,0,16,0,96,0.381297
4486,17369,3,False,2,266,562,0,3620,10.013652
4487,17371,4,False,2,284,607,0,4520,10.060281
4488,17375,4,False,2,127,281,0,1994,10.044786
4489,17378,3,False,2,127,286,0,2310,10.018902
4490,17381,3,False,2,131,287,0,2149,10.004662
4491,17381,4,True,1,2,35,0,253,0.884122
4492,17384,4,True,1,0,19,0,168,0.458972
4493,17385,4,True,1,0,39,0,299,0.951891
4494,17386,4,True,1,0,19,0,166,0.465897
4495,17389,3,True,1,33,96,0,442,3.110538
4496,17394,4,False,2,130,298,0,1290,10.030049
4497,17395,3,False,2,126,296,0,986,10.02057
4498,17396,3,True,1,4,47,0,339,1.233828
4499,17399,3,True,1,0,35,0,227,0.89589
4500,17399,4,True,1,0,28,0,267,0.692674
4501,17405,3,False,2,131,288,0,1711,10.000743
4502,17405,4,False,2,125,273,0,1616,10.013257
4503,17408,4,True,1,0,26,0,248,0.679509
4504,17412,3,False,2,115,290,0,1186,10.005107
4505,17412,4,True,1,0,28,0,243,0.70119
4506,17414,3,True,1,0,28,0,252,0.715237
4507,17417,3,True,1,0,26,0,246,0.652698
4508,17417,4,True,1,0,26,0,254,0.635098
4509,17418,4,True,1,0,63,0,597,1.568902
4510,17419,4,True,1,0,6,0,25,0.172053
4511,17420,3,True,1,0,25,0,254,0.6471
4512,17422,3,True,1,0,6,0,16,0.168328
4513,17423,3,True,1,0,27,0,249,0.673629
4514,17424,3,False,2,119,306,0,1457,10.107929
4515,17426,3,True,1,0,63,0,738,1.600334
4516,17428,4,True,1,0,20,0,180,0.520852
4517,17431,4,True,1,0,5,0,9,0.14465
4518,17432,4,True,1,0,18,0,149,0.461631
4519,17435,3,True,1,0,5,0,7,0.14435
4520,17441,4,True,1,0,21,0,229,0.522413
4521,17442,3,True,1,0,9,0,34,0.23715
4522,17443,3,True,1,0,8,0,28,0.218477
4523,17443,4,False,2,134,291,0,2474,10.025174
4524,17444,3,True,1,0,5,0,5,0.142796
4525,17448,4,True,1,0,21,0,255,0.524913
4526,17451,3,True,1,0,10,0,29,0.263032
4527,17457,3,True,1,0,8,0,22,0.214731
4528,17458,4,True,1,0,6,0,30,0.168261
4529,17459,3,True,1,0,8,0,22,0.215025
4530,17464,4,True,1,0,6,0,30,0.170797
4531,17469,3,True,1,0,8,0,22,0.219702
4532,17470,3,True,1,0,7,0,16,0.191674
4533,17471,3,True,1,0,7,0,16,0.194481
4534,17475,3,True,1,0,7,0,16,0.197362
4535,17481,3,True,1,0,37,0,1155,0.928175
4536,17484,3,True,1,0,3,0,5,0.097034
4537,17491,4,True,1,6,38,0,377,1.08099
4538,17496,4,True,1,6,38,0,377,1.053358
4539,17497,3,True,1,0,20,0,74,0.499507
4540,17501,4,True,1,6,38,0,378,1.051388
4541,17503,3,True,1,0,20,0,90,0.499846
4542,17504,3,True,1,0,20,0,89,0.502852
4543,17504,4,True,1,6,38,0,377,1.076907
4544,17505,4,True,1,6,38,0,378,1.113071
4545,17507,4,True,1,6,38,0,378,1.111881
4546,17519,3,True,1,0,20,0,74,0.501785
4547,17523,3,True,1,0,20,0,74,0.531352
4548,17524,4,True,1,11,48,0,450,1.443428
4549,17525,3,True,1,0,20,0,74,0.507148
4550,17525,4,True,1,11,48,0,450,1.458755
4551,17527,3,True,1,0,20,0,72,0.548854
4552,17533,3,True,1,0,21,0,73,0.577055
4553,17533,4,True,1,11,46,0,421,1.420101
4554,17534,3,True,1,0,21,0,72,0.552276
4555,17536,3,True,1,0,20,0,71,0.52272
4556,17541,3,True,1,0,3,0,6,0.111114
4557,17541,4,False,2,130,283,0,1798,10.019191
4558,17542,3,True,1,0,3,0,6,0.095419
4559,17543,4,False,2,133,290,0,2115,10.150027
4560,17546,4,True,1,0,48,0,334,1.199199
4561,17556,4,True,1,0,22,0,164,0.561968
4562,17557,3,True,1,0,25,0,265,0.646228
4563,17557,4,True,1,0,41,0,408,1.043419
4564,17567,3,True,1,0,25,0,265,0.632911
4565,17570,3,True,1,0,13,0,75,0.330677
4566,17573,4,True,1,0,33,0,216,0.820804
4567,17579,4,True,1,0,41,0,351,1.02745
4568,17586,4,True,1,0,26,0,257,0.599222
4569,17595,4,True,1,0,18,0,141,0.450927
4570,17604,3,True,1,0,8,0,26,0.208863
4571,17605,4,True,1,109,240,0,1907,8.586342
4572,17622,4,True,1,2,28,0,258,0.753643
4573,17631,4,True,1,4,36,0,354,1.003776
4574,17634,4,False,2,126,275,0,1443,10.004374
4575,17639,4,False,2,185,399,0,2673,10.021335
4576,17640,3,True,1,42,109,0,775,3.537975
4577,17640,4,True,1,1,27,0,187,0.641215
4578,17643,4,False,2,75,259,0,896,10.003114
4579,17651,4,True,1,0,34,0,329,0.797955
4580,17653,3,True,1,0,24,0,220,0.569591
4581,17654,4,False,2,199,445,0,2316,10.008979
4582,17658,4,False,2,152,333,0,1448,10.000433
4583,17659,3,False,2,114,305,0,1941,10.013448
4584,17666,4,False,2,122,309,0,3320,10.005984
4585,17669,4,False,2,52,190,0,4008,10.181912
4586,17671,3,False,2,285,635,0,4234,10.026044
4587,17675,4,False,2,162,450,0,2637,10.056365
4588,17682,4,True,1,0,37,0,376,0.558459
4589,17694,4,False,2,139,301,0,1661,10.012412
4590,17695,4,False,2,199,499,0,2182,10.003316
4591,17696,3,True,1,20,86,0,492,1.162928
4592,17708,3,True,1,0,14,0,79,0.173893
4593,17708,4,False,2,293,618,0,4208,10.00877
4594,17709,3,True,1,0,14,0,79,0.158654
4595,17711,4,False,2,305,643,0,4579,10.01748
4596,17716,3,False,2,303,634,0,5359,10.003985
4597,17718,3,False,2,301,636,0,4068,10.004145
4598,17720,3,False,2,261,545,0,3316,10.03552
4599,17720,4,True,1,0,30,0,224,0.31917
4600,17724,4,True,1,0,15,0,87,0.167005
4601,17725,3,True,1,0,14,0,48,0.159517
4602,17726,3,True,1,0,14,0,49,0.160668
4603,17728,3,True,1,0,5,0,24,0.064687
4604,17728,4,True,1,0,18,0,144,0.19957
4605,17732,3,False,2,300,690,0,1552,10.006762
4606,17736,3,True,1,0,49,0,456,0.522408
4607,17736,4,True,1,12,53,0,370,0.690902
4608,17739,3,True,1,4,35,0,317,0.414408
4609,17739,4,True,1,199,452,0,3315,8.340661
4610,17744,3,False,2,201,424,0,609,10.267822
4611,17744,4,False,2,134,347,0,787,10.022173
4612,17748,4,True,1,0,56,0,345,1.330539
4613,17749,3,True,1,0,49,0,327,1.192393
4614,17749,4,True,1,0,21,0,187,0.533164
