fault_index,original_fault_index,gate_id,fault_val,ok,attempts_used,precheck_success,precheck_attempts,precheck_pi_assignments,ai_precheck_solve_time_s,ai_precheck_sim_time_s,ai_hint_solve_time_s,ai_podem_search_time_s,ai_result_code,search_backtracks_diagnostic,time_s,classic_timeout_time_s,classic_timeout_backtracks,classic_timeout_recursive_calls,ai_error
880,2658,12476,4,False,1,False,1,34,1.9183,0.0156,1.8679,10.3965,2,277,14.202,10.022692,124,301,
881,2787,12853,3,False,1,False,1,44,0.1569,0.0304,0.1449,10.6596,2,329,10.9961,10.019982,126,296,
882,2796,12874,4,False,1,False,1,32,0.4746,0.0,0.2071,10.4844,2,332,11.1713,10.00418,111,312,
883,2797,12882,3,True,1,True,1,12,1.1248,0.0152,0.0,0.1208,1,0,1.2658,10.020027,95,307,
884,2809,12914,4,False,1,False,1,40,1.331,0.0154,1.2179,10.5154,2,326,13.0866,10.006055,260,579,
885,2811,12922,4,False,1,False,1,21,2.164,0.0161,1.8768,10.3812,2,329,14.4417,10.007903,286,647,
886,2821,12957,4,False,1,False,1,48,2.9832,0.0163,2.6987,10.635,2,323,16.3376,10.005316,295,653,
887,2822,12958,3,False,1,False,1,65,1.597,0.0158,1.7529,10.9259,2,305,14.296,10.000388,269,613,
888,2823,12962,3,False,1,False,1,5,1.8966,0.0152,1.7542,10.0249,2,294,13.6954,10.01901,189,470,
889,2824,12965,4,False,1,False,1,23,1.687,0.0,1.0515,10.362,2,325,13.1049,10.008022,203,446,
890,2825,12967,3,False,1,False,1,5,1.893,0.018,2.1442,10.0316,2,154,14.0913,10.023917,151,394,
891,2827,12970,4,True,1,True,1,11,2.6899,0.0158,0.0,0.0887,1,0,2.8013,10.004175,119,337,
892,2834,13005,4,False,1,False,1,13,0.4629,0.0,0.4603,10.2067,2,329,11.1341,10.018752,130,271,
893,2835,13006,3,False,1,False,1,13,3.8581,0.0,3.7259,10.3445,2,330,17.9329,10.015129,120,291,
894,2836,13010,4,False,1,False,1,1,1.8882,0.0,1.9142,10.0342,2,328,13.8415,10.018206,120,336,
895,2837,13011,3,False,1,False,1,17,2.0708,0.0156,3.1344,10.038,2,302,15.2636,10.235237,71,225,
896,2838,13013,4,False,1,False,1,1,2.1393,0.0,2.0743,10.0257,2,346,14.2444,10.005628,133,314,
897,2839,13016,4,False,1,False,1,1,2.8461,0.0,2.1068,10.0292,2,338,14.9872,10.001913,122,320,
898,2841,13019,3,True,1,True,1,54,0.4101,0.0152,0.0,0.5825,1,0,1.014,10.008814,82,278,
899,2844,13029,4,False,1,False,1,57,1.0341,0.0158,0.8158,10.8148,2,252,12.6861,10.013162,130,319,
900,2845,13030,3,False,1,False,1,32,2.4675,0.0263,2.992,10.8109,2,174,16.3075,10.040622,140,317,
901,2848,13035,4,True,1,True,1,30,2.2542,0.0268,0.0,0.2396,1,0,2.5294,10.004493,91,266,
902,2849,13037,3,False,1,False,1,34,5.1791,0.0256,4.6139,10.4989,2,175,20.3247,10.005623,128,295,
903,2851,13039,3,False,1,False,1,55,1.2046,0.0254,0.8128,10.8695,2,324,12.9201,10.010681,128,301,
904,2854,13045,3,False,1,False,1,56,2.1969,0.016,2.1686,10.6103,2,316,14.9963,10.001799,116,298,
905,2856,13048,4,False,1,False,1,70,0.422,0.0156,0.4227,10.7932,2,322,11.6582,10.040039,124,302,
906,2859,13056,3,False,1,False,1,48,2.0378,0.0153,2.095,10.4495,2,326,14.6019,10.001576,122,296,
907,2862,13061,3,False,1,False,1,44,2.0813,0.0155,2.1173,10.3963,2,330,14.6147,10.033835,134,316,
908,2863,13062,3,False,1,False,1,43,2.1767,0.0158,2.2017,10.393,2,330,14.7916,10.012531,128,307,
909,2864,13065,3,False,1,False,1,41,2.1292,0.0159,2.1951,10.3609,2,320,14.7055,10.093912,132,312,
910,2865,13066,3,False,1,False,1,55,0.4852,0.0159,1.0896,10.5012,2,324,12.0968,10.008705,128,304,
911,2867,13072,3,False,1,False,1,55,1.5088,0.0151,0.9017,10.4948,2,322,12.9252,10.005223,134,318,
912,2868,13078,3,False,1,False,1,23,6.8404,0.015,7.093,10.1263,2,321,24.0792,10.016975,137,310,
913,2872,13083,4,False,1,False,1,15,1.2325,0.0158,1.055,10.0507,2,337,12.3598,10.044199,144,313,
914,2873,13086,4,False,1,False,1,2,2.3459,0.0162,1.9203,10.0212,2,327,14.3094,10.011351,134,315,
915,2879,13105,4,False,1,False,1,29,1.7967,0.0151,1.8858,10.4208,2,337,14.124,10.271901,142,324,
916,2880,13106,3,False,1,False,1,28,3.6482,0.0154,3.8069,10.4607,2,349,17.9365,10.216005,149,333,
917,2881,13106,4,False,1,False,1,89,2.1552,0.0,1.3134,11.3238,2,322,14.7951,10.017231,123,344,
918,2882,13108,3,False,1,False,1,16,3.277,0.0149,3.1907,10.2921,2,344,16.78,10.000464,136,330,
919,2883,13114,3,False,1,False,1,21,3.3136,0.0157,3.6003,10.4065,2,354,17.3415,10.015334,132,331,
920,2884,13116,3,False,1,False,1,26,3.2412,0.015,3.5012,10.3752,2,331,17.1379,10.016052,142,323,
921,2885,13117,3,False,1,False,1,25,1.2381,0.016,1.2936,10.2811,2,332,12.8343,10.012365,135,334,
922,2888,13125,4,False,1,False,1,30,4.0536,0.0151,4.0454,10.2221,2,341,18.3407,10.019286,135,334,
923,2894,13153,3,False,1,False,1,35,1.601,0.0151,1.5275,10.5261,2,333,13.6733,10.007291,138,315,
924,2896,13156,3,False,1,False,1,42,3.8331,0.0155,3.7915,10.1795,2,275,17.8241,10.012119,131,326,
925,2984,13434,3,False,1,False,1,27,1.4088,0.0162,1.3828,10.0723,2,345,12.8861,10.002008,141,301,
926,2985,13434,4,False,1,False,1,4,1.3503,0.0157,1.1362,10.0518,2,344,12.5569,10.001183,141,310,
927,2989,13445,4,False,1,False,1,28,1.5472,0.0157,1.6206,10.2742,2,332,13.4634,10.040777,138,319,
928,2992,13454,4,False,1,False,1,34,0.4161,0.0154,0.4278,10.2462,2,325,11.1104,10.009656,133,322,
929,2993,13457,4,False,1,False,1,49,3.1309,0.0153,2.8459,10.7127,2,337,16.7118,10.038707,131,336,
930,2996,13461,3,False,1,False,1,48,2.9751,0.0152,2.8373,10.6121,2,337,16.4442,10.001236,133,325,
931,2997,13462,3,False,1,False,1,43,2.8076,0.0154,2.2787,10.6231,2,340,15.7296,10.024867,116,298,
932,2998,13464,4,False,1,False,1,39,3.1022,0.0159,1.9224,10.5354,2,337,15.5807,10.019654,127,296,
933,3002,13489,3,False,1,False,1,14,0.0528,0.0304,0.0002,10.1945,2,335,10.2809,10.009614,256,581,
934,3006,13506,4,False,1,False,1,27,1.5389,0.0,2.3098,10.4127,2,328,14.2656,10.043137,303,670,
935,3007,13510,3,False,1,False,1,1,1.7314,0.0159,2.1317,10.02,2,329,13.9041,10.057542,241,544,
936,3008,13514,3,False,1,False,1,23,2.4692,0.0147,2.3405,10.3304,2,348,15.1598,10.006325,240,520,
937,3009,13515,3,False,1,False,1,32,1.235,0.0,1.2456,10.5318,2,335,13.0176,10.003871,283,657,
938,3010,13517,4,False,1,False,1,32,2.1661,0.0,2.5946,10.4856,2,329,15.2515,10.007147,298,673,
939,3011,13520,4,False,1,False,1,35,2.4518,0.0147,2.5171,10.2705,2,343,15.2607,10.008482,286,625,
940,3016,13529,3,False,1,False,1,41,1.3223,0.0,1.8841,10.632,2,344,13.8451,10.00539,244,548,
941,3017,13530,4,False,1,False,1,58,1.3153,0.0156,1.81,10.6873,2,348,13.8349,10.008923,293,622,
942,3018,13535,3,False,1,False,1,34,2.31,0.0,0.9586,10.536,2,331,13.8113,10.120013,307,653,
