fault_index,gate_id,fault_val,classic_ok,classic_result_code,classic_backtracks,classic_recursive_calls,classic_backtrace_count,classic_backtrace_hops,classic_time_s,source_csv
4637,17795,3,True,1,0,4,0,5,0.096702,classic_shard_4000_5000_per_fault.csv
4638,17802,4,True,1,0,6,0,24,0.143694,classic_shard_4000_5000_per_fault.csv
4639,17803,4,True,1,0,6,0,24,0.143007,classic_shard_4000_5000_per_fault.csv
4640,17805,4,True,1,0,6,0,24,0.142814,classic_shard_4000_5000_per_fault.csv
4641,17806,3,True,1,0,4,0,5,0.096853,classic_shard_4000_5000_per_fault.csv
4642,17809,3,True,1,0,4,0,5,0.096029,classic_shard_4000_5000_per_fault.csv
4643,17812,3,True,1,0,4,0,5,0.096058,classic_shard_4000_5000_per_fault.csv
4644,17816,3,True,1,0,18,0,158,0.422849,classic_shard_4000_5000_per_fault.csv
4645,17818,3,True,1,0,4,0,5,0.096017,classic_shard_4000_5000_per_fault.csv
4646,17820,3,True,1,0,4,0,5,0.095628,classic_shard_4000_5000_per_fault.csv
4647,17820,4,True,1,0,4,0,13,0.09639,classic_shard_4000_5000_per_fault.csv
4648,17821,3,True,1,0,4,0,5,0.095916,classic_shard_4000_5000_per_fault.csv
4649,17826,4,True,1,0,4,0,13,0.096617,classic_shard_4000_5000_per_fault.csv
4650,17831,3,True,1,0,4,0,5,0.095862,classic_shard_4000_5000_per_fault.csv
4651,17832,4,True,1,0,4,0,13,0.096121,classic_shard_4000_5000_per_fault.csv
4652,17833,3,True,1,0,4,0,5,0.095342,classic_shard_4000_5000_per_fault.csv
4653,17833,4,True,1,0,4,0,13,0.095944,classic_shard_4000_5000_per_fault.csv
4654,17834,3,True,1,0,4,0,5,0.096201,classic_shard_4000_5000_per_fault.csv
4655,17838,4,True,1,0,4,0,13,0.097404,classic_shard_4000_5000_per_fault.csv
4656,17844,4,True,1,0,4,0,13,0.09617,classic_shard_4000_5000_per_fault.csv
4657,17845,3,True,1,0,4,0,5,0.09743,classic_shard_4000_5000_per_fault.csv
4658,17849,3,True,1,4,38,0,396,0.976492,classic_shard_4000_5000_per_fault.csv
4659,17849,4,True,1,0,8,0,14,0.191807,classic_shard_4000_5000_per_fault.csv
4660,17850,3,True,1,0,7,0,12,0.166371,classic_shard_4000_5000_per_fault.csv
4661,17851,3,True,1,4,35,0,375,0.906856,classic_shard_4000_5000_per_fault.csv
4662,17854,3,True,1,0,13,0,57,0.308566,classic_shard_4000_5000_per_fault.csv
4663,17855,4,True,1,4,36,0,387,0.93167,classic_shard_4000_5000_per_fault.csv
4664,17857,4,True,1,4,36,0,387,0.938973,classic_shard_4000_5000_per_fault.csv
4665,17858,4,True,1,4,36,0,387,0.939432,classic_shard_4000_5000_per_fault.csv
4666,17859,3,True,1,0,8,0,28,0.193828,classic_shard_4000_5000_per_fault.csv
4667,17859,4,True,1,4,36,0,387,0.947057,classic_shard_4000_5000_per_fault.csv
4668,17860,3,True,1,0,8,0,28,0.196654,classic_shard_4000_5000_per_fault.csv
4669,17860,4,True,1,4,36,0,387,0.947092,classic_shard_4000_5000_per_fault.csv
4670,17864,4,True,1,4,36,0,387,0.93503,classic_shard_4000_5000_per_fault.csv
4671,17865,3,True,1,0,8,0,28,0.197798,classic_shard_4000_5000_per_fault.csv
4672,17878,3,True,1,0,21,0,89,0.506979,classic_shard_4000_5000_per_fault.csv
4673,17880,4,True,1,0,22,0,253,0.683676,classic_shard_4000_5000_per_fault.csv
4674,17885,4,True,1,0,22,0,253,0.556429,classic_shard_4000_5000_per_fault.csv
4675,17889,3,True,1,0,6,0,14,0.145952,classic_shard_4000_5000_per_fault.csv
4676,17890,4,True,1,0,22,0,253,0.517415,classic_shard_4000_5000_per_fault.csv
4677,17891,4,True,1,0,22,0,253,0.527271,classic_shard_4000_5000_per_fault.csv
4678,17893,4,True,1,0,21,0,281,0.494768,classic_shard_4000_5000_per_fault.csv
4679,17895,3,True,1,0,20,0,73,0.48,classic_shard_4000_5000_per_fault.csv
4680,17897,3,True,1,0,20,0,74,0.707691,classic_shard_4000_5000_per_fault.csv
4681,17905,4,True,1,0,21,0,281,0.881847,classic_shard_4000_5000_per_fault.csv
4682,17907,4,True,1,0,21,0,281,0.960405,classic_shard_4000_5000_per_fault.csv
4683,17910,4,True,1,14,52,0,555,2.992113,classic_shard_4000_5000_per_fault.csv
4684,17913,3,True,1,0,21,0,90,1.001486,classic_shard_4000_5000_per_fault.csv
4685,17915,4,True,1,14,52,0,555,2.877543,classic_shard_4000_5000_per_fault.csv
4686,17918,3,True,1,0,5,0,10,0.121075,classic_shard_4000_5000_per_fault.csv
4687,17920,3,True,1,0,6,0,13,0.143109,classic_shard_4000_5000_per_fault.csv
4688,17921,3,True,1,0,6,0,14,0.142151,classic_shard_4000_5000_per_fault.csv
4689,17923,3,True,1,0,3,0,8,0.071764,classic_shard_4000_5000_per_fault.csv
4690,17924,3,True,1,0,20,0,71,0.475694,classic_shard_4000_5000_per_fault.csv
4691,17924,4,True,1,0,3,0,6,0.071825,classic_shard_4000_5000_per_fault.csv
4692,17928,4,True,1,0,3,0,6,0.071676,classic_shard_4000_5000_per_fault.csv
4693,17930,3,True,1,0,20,0,74,0.475165,classic_shard_4000_5000_per_fault.csv
4694,17930,4,True,1,0,3,0,6,0.072656,classic_shard_4000_5000_per_fault.csv
4695,17932,4,True,1,0,3,0,6,0.072541,classic_shard_4000_5000_per_fault.csv
4696,17936,4,True,1,0,4,0,12,0.095786,classic_shard_4000_5000_per_fault.csv
4697,17939,3,True,1,0,21,0,301,0.487141,classic_shard_4000_5000_per_fault.csv
4698,17939,4,True,1,0,20,0,92,0.473726,classic_shard_4000_5000_per_fault.csv
4699,17944,4,True,1,0,20,0,92,0.475065,classic_shard_4000_5000_per_fault.csv
4700,17955,3,True,1,0,21,0,90,0.975779,classic_shard_4000_5000_per_fault.csv
4701,17955,4,True,1,0,3,0,6,0.138621,classic_shard_4000_5000_per_fault.csv
4702,17956,3,True,1,0,21,0,89,0.978198,classic_shard_4000_5000_per_fault.csv
4703,17956,4,True,1,0,3,0,6,0.144635,classic_shard_4000_5000_per_fault.csv
4704,17959,3,True,1,0,3,0,8,0.140771,classic_shard_4000_5000_per_fault.csv
4705,17960,4,True,1,0,3,0,6,0.140517,classic_shard_4000_5000_per_fault.csv
